,Run,run_length,runner_up_highest,standard_lowest,standard_reached,num_agents,num_edges,num_variants,link_generator,variant_exchange,multiplexity_range
123,123,2672,573.0,137.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
124,124,2851,590.0,116.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
125,125,4107,901.0,99.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
126,126,1589,704.0,40.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
127,127,1947,753.0,45.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
128,128,2239,618.0,63.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
129,129,4441,906.0,94.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
130,130,936,422.0,192.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
131,131,1606,588.0,91.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
132,132,1096,451.0,187.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
133,133,1399,584.0,17.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
134,134,5000,,,False,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
135,135,1169,739.0,49.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
136,136,2080,627.0,46.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
137,137,662,601.0,179.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
138,138,3618,908.0,92.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
